item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml,image_url
5362,John Barr Reserve,1012300.0,11.67,17.51,750,https://shop.iowaabd.com/images/product-small/5360-1.jpg
27171,Minor Case Straight Rye,1011600.0,20.0,30.0,750,https://shop.iowaabd.com/images/product-small/27171-1.png
18120,Evan Williams Vintage,1011300.0,15.49,23.24,750,https://shop.iowaabd.com/images/product-small/059100.jpg
5404,Laphroaig Select,1012300.0,27.0,40.5,750,https://shop.iowaabd.com/images/product-small/5404-1.jpg
45246,Paramount Gold Rum,1062100.0,4.0,6.0,750,https://shop.iowaabd.com/images/product-small/45245-1.jpg
22241,Woodford Reserve Straight Malt,1011300.0,22.49,33.74,750,https://shop.iowaabd.com/images/product-small/22241-1.jpg
33256,Seagrams Lime Twisted Gin,1041200.0,6.49,9.74,750,https://shop.iowaabd.com/images/product-small/033256.jpg
5105,Glenmorangie Quinta Ruban,1012300.0,29.99,44.99,750,https://shop.iowaabd.com/images/product-small/005105.jpg
5446,Laphroaig 10YR,1012300.0,29.5,44.25,750,https://shop.iowaabd.com/images/product-small/005446.jpg
42666,Mt Gay Eclipse Rum,1062100.0,10.98,16.47,750,https://shop.iowaabd.com/images/product-small/042666.jpg
86749,Ole Smoky Cherry Moonshine,1091300.0,12.5,18.75,750,https://shop.iowaabd.com/images/product-small/image-not-available2.jpg
5133,Glenmorangie 10YR,1012300.0,19.99,29.99,750,https://shop.iowaabd.com/images/product-small/005133.jpg
5067,Glenmorangie Signet,1012300.0,109.99,164.99,750,https://shop.iowaabd.com/images/product-small/image-not-available2.jpg
28134,Essence of Iowa Whiskey,1011700.0,19.25,28.88,750,https://shop.iowaabd.com/images/product-small/28134-1.jpg
5006,Glenfiddich 12YR Special Reserve,1012300.0,26.0,39.0,750,https://shop.iowaabd.com/images/product-small/5006-1.jpg
72816,Caffe Lolita Coffee Liqueur,1081100.0,5.0,7.5,750,https://shop.iowaabd.com/images/product-small/72816-1.png
43109,Bacardi Black,1062300.0,8.25,12.38,750,https://shop.iowaabd.com/images/product-small/43109-1.jpg
67578,Kahlua Salted Caramel,1081100.0,11.99,17.99,750,https://shop.iowaabd.com/images/product-small/067578-1.jpg
903385,SOOH Gran Centenario Reposado,1901200.0,28.08,42.12,750,https://shop.iowaabd.com/images/product-small/903385.jpg
903037,SOOH Agavero Liqueur,1901200.0,17.5,26.25,750,https://shop.iowaabd.com/images/product-small/903037-1.jpg
6316,Tomatin Single Malt,1012300.0,22.0,33.0,750,https://shop.iowaabd.com/images/product-small/006316-1.jpg
76414,Ole Smoky Moonshine Pickles,1091300.0,12.5,18.75,750,https://shop.iowaabd.com/images/product-small/76414-1.jpg
67586,Kapali Coffee Liqueur,1081100.0,5.72,8.58,750,https://shop.iowaabd.com/images/product-small/067586.jpg
87030,Kamiki Japanese Whisky,1092100.0,38.88,58.32,750,https://shop.iowaabd.com/images/product-small/87030-1.jpg
4084,Aberlour 12YR,1012300.0,27.48,41.22,750,https://shop.iowaabd.com/images/product-small/004084.jpg
902780,SOOH Hiram Walker Cherry Brandy,1901200.0,6.5,9.75,1000,https://shop.iowaabd.com/images/product-small/902780-1.png
904844,SOOH Cynar 33prf,1901200.0,14.5,21.75,1000,https://shop.iowaabd.com/images/product-small/904844-1.jpg
15180,WhistlePig 10YR,1011600.0,39.17,58.76,750,https://shop.iowaabd.com/images/product-small/15181-1.jpg
88095,Mi Campo Blanco,1092100.0,12.4,18.6,750,https://shop.iowaabd.com/images/product-small/88095-1.png
72945,Krupnik,1091100.0,16.65,24.98,750,https://shop.iowaabd.com/images/product-small/72945-1.jpg
904761,SOOH Burnetts Mango,1901200.0,4.5,6.75,750,https://shop.iowaabd.com/images/product-small/904761-1.jpg
964039,SOOH Aalborg Taffel Aquavit,1082100.0,11.0,16.5,750,https://shop.iowaabd.com/images/product-small/964039-1.jpg
26665,Tincup Rye Whiskey,1011600.0,13.75,20.63,750,https://shop.iowaabd.com/images/product-small/26665-1.jpg
26496,Burn the Boats Rye Whiskey,1011600.0,17.5,26.25,750,https://shop.iowaabd.com/images/product-small/26496-1.jpeg
88533,Mi Campo Reposado,1092100.0,12.4,18.6,750,https://shop.iowaabd.com/images/product-small/88533-1.png
5596,Mcclelland Highland,1012300.0,15.74,23.61,750,https://shop.iowaabd.com/images/product-small/005596-1.jpg
42599,Leblon Cachaca,1092100.0,18.34,27.51,750,https://shop.iowaabd.com/images/product-small/image-not-available2.jpg
6206,Talisker 10YR,1012300.0,42.5,63.75,750,https://shop.iowaabd.com/images/product-small/006206.jpg
48715,Martell VSOP Red Barrel,1092100.0,20.99,31.49,750,https://shop.iowaabd.com/images/product-small/48715-1.jpg
42777,Ron Zacapa 23YR,1062300.0,22.5,33.75,750,https://shop.iowaabd.com/images/product-small/042777.jpg
941294,SOOH Burnetts Peach,1901200.0,4.5,6.75,750,https://shop.iowaabd.com/images/product-small/941294-1.jpg
4090,Ardbeg Corryvreckan,1012300.0,45.99,68.99,750,https://shop.iowaabd.com/images/product-small/004090.jpg
19235,Knob Creek Single Barrel Reserve,1011300.0,27.33,41.0,750,https://shop.iowaabd.com/images/product-small/19235-1.jpg
