item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml
934962,SOOH Three Olives Orange,1901200,9.96,14.94,750
965381,Kuemmerling Herbal Liqueur,1082100,2.5,3.75,20
926789,Steeple Ridge Bourbon Single Barrel,1011800,30.0,45.0,750
902846,Johnnie Walker Black Mini,1901200,20.33,30.5,50
969617,Dr McGillicuddys Butterscotch Mini,1082100,6.0,9.0,50
984160,99 Apples Mini,1901200,5.95,8.93,50
973627,SOOH Di Amore Quattro Orange,1901200,9.75,14.63,1000
904759,SOOH Burnetts Strawberry,1901200,4.5,6.75,750
965221,SOOH Jinro Chamisul Soju,1901200,7.25,10.88,750
77988,Smirnoff Spicy Tamarind,1700000,8.25,12.38,750
64559,The Bitter Truth Elderflower Liqueur,1082100,16.5,24.75,750
43721,The Real McCoy Single Blended Rum Aged 5 Years,1062100,14.8,22.2,750
4000,Aberfeldy 12YR,1012300,24.0,36.0,750
916371,Old Fitzgerald 15YR BIB Decanter,1011500,75.0,112.5,750
15994,Sierra Norte Whiskey Yellow Corn,1092100,27.08,40.62,750
43720,The Real McCoy Single Blended Rum Aged 3 Years,1062100,12.3,18.45,750
949712,SOOH Calvados Morin Selection,1901200,12.5,18.75,750
903119,SOOH Knappogue Castle 12YR,1901200,18.64,27.96,750
20372,Old Forester 1897 Whisky Row Series,1011500,24.98,37.47,750
88836,Del Maguey Arroqueno,1022300,64.96,97.44,750
928699,Monkey 47,1901200,19.98,29.97,375
88074,Mayalen Machetazo Salmiana,1022300,23.32,34.98,750
966995,SOOH Suze,1082100,14.99,22.49,750
4096,Ardbeg 10YR Islay,1012300,29.99,44.99,750
86460,Cody Road Experimental - Brandy Barrel Finish Rye Whi DISCO,1700000,19.16,28.74,750
88482,Scorpion Mezcal Anejo 2yr,1092100,31.37,47.06,750
902552,SOOH Dekuyper Anisette,1901200,5.25,7.88,750
942396,SOOH Plantation Rhum 3 Stars,1901200,10.27,15.41,750
903892,SOOH Linie Aquavit,1901200,15.0,22.5,750
