store_number,store_name,store_location,address,city
4893,Casey's General Store #3098 / WDM,POINT (-93.70379 41.582697),105 Grand Ave,West Des Moines
5739,Casey's General Store #1455,POINT (-93.30968 42.303759),27470 HWY 65 South,Hubbard
6010,Casey's General Store #1084 / Evansdale,POINT (-92.287899 42.477215),3601 Lafayette Rd,Evansdale
4510,Casey's General Store #1007 / Malvern,POINT (-95.585127 41.005672),701 Main St,Malvern
4823,Casey's General Store #3223 / Creston,POINT (-94.372568 41.066824),903 N Sumner Ave,Creston
4707,Walgreens #05119 / Clinton,POINT (-90.193208 41.837297),806 S  4th St,Clinton
5580,Casey's General Store #2 / Boone,POINT (-93.891545 42.05960100000001),114 Mamie Eisenhower,Boone
5985,Casey's General Store #2350 / Oskaloosa,POINT (-92.64507 41.278496),1902 S Market St,Oskaloosa
5983,Casey's General Store #1997 / Waukon,POINT (-91.474407 43.264239),516 Rossville Rd,Waukon
5919,Casey's General Store #43 / Ossian,POINT (-91.767672 43.146669),200 W Main St,Ossian
4884,Tobacco Hut #11 / Sioux City,POINT (-96.348659 42.470479),"4523, Morningside Ave",Sioux City
